Educational activity,Hours student engaged,Explanatory comments (if any):
Course attendance,28.33,10 meetings at 170 minutes per meeting
Assigned readings,15.67,"Weekly readings are assigned, and expected to take approximatley 1.5 hours each week"
Projects,36,"Final project, as described above"
Homework,40,"10 Labs, at approximately 3 hours per lab spent out of class (20 hours), plus 4 Rstudio Primers, 3 R-Bootcamp Chapters, and 4 Codecademy Lessons at approximately 1 hour each (10 hours)"
Total hours:,120,
